# Generated from Japanese N2 Grammar
dabia-jlpt::N2 Grammar,c3734ff7-f508-50ce-88fb-0ffb3986cee7,か終わらないかのうちに,,,V-原型 + か + V-ない形 + かの,时间关系、先后与同步发生 | 刚要…的时候马上就… / （几乎同步发生）,,,,,食事が終わる__子供はゲームをやり出した。,食事が終わるか終わらないかのうちに子供はゲームをやり出した。,刚要吃完饭的时候，孩子马上就玩起了电子游戏。,,jlpt_n2_grammar/c3734ff7-f508-50ce-88fb-0ffb3986cee7.mp3
dabia-jlpt::N2 Grammar,ce0b8699-f38c-58fb-92e8-718c1cfd70a1,にかけて,,,N から N にかけて,时间关系、先后与同步发生 | 从…到… / （时间或场所的大致范围）,,,,,日本では大学の入学試験は普通２月から３月__行われる。,日本では大学の入学試験は普通２月から３月にかけて行われる。,在日本，大学的入学考试一般在2月到3月间举行。,,jlpt_n2_grammar/ce0b8699-f38c-58fb-92e8-718c1cfd70a1.mp3
dabia-jlpt::N2 Grammar,39289ffc-4a86-5459-afa0-457ff7d963d6,最中,,,N + の / V-ている形,时间关系、先后与同步发生 | 正在…的时候 / （强调高潮、最盛期被中断）,,,,,今日は食事の__だから、タバコは遠慮したほうがいいですよ。,今日は食事の最中だから、タバコは遠慮したほうがいいですよ。,因为现在正在吃饭，请不要抽烟。,,jlpt_n2_grammar/39289ffc-4a86-5459-afa0-457ff7d963d6.mp3
dabia-jlpt::N2 Grammar,88b0f6e1-667d-5fdf-b4a6-104a24d4322f,次第,,,V-ます形去掉ます,时间关系、先后与同步发生 | 一…立即… / （做完前项马上做后项）,,,,,レポートはでき__、そちらに送りします。,レポートはでき次第、そちらに送りします。,报告一做好，就马上送到那里去。,,jlpt_n2_grammar/88b0f6e1-667d-5fdf-b4a6-104a24d4322f.mp3
dabia-jlpt::N2 Grammar,d8b7d58e-47eb-5343-80d8-fd4e68fa8b00,とたん,,,V-た形,时间关系、先后与同步发生 | 刚…就… / （瞬间发生，后项多为意外）,,,,,暑くなった__、ビールの売れ行きがよくなった。,暑くなったとたん、ビールの売れ行きがよくなった。,一变热，啤酒的销售马上就变好了。,,jlpt_n2_grammar/d8b7d58e-47eb-5343-80d8-fd4e68fa8b00.mp3
dabia-jlpt::N2 Grammar,e7799369-2d6f-5cc4-aa77-96d8d6a0ab07,たびに,,,V-原型 / N + の,时间关系、先后与同步发生 | 每当…就… / 每…总会…,,,,,内田さんは会う__髪型違う。,内田さんは会うたびに髪型違う。,每次见到内田，她的发型总是不一样。,,jlpt_n2_grammar/e7799369-2d6f-5cc4-aa77-96d8d6a0ab07.mp3
dabia-jlpt::N2 Grammar,7343b728-41db-5275-87ea-17a04bb7eb76,つつ,,,V-ます形去掉ます,时间关系、先后与同步发生 | 一边…一边… / （书面语，同步进行）,,,,,課長はロビーで新聞を読み__、お客さんを待っている。,課長はロビーで新聞を読みつつ、お客さんを待っている。,课长一边在客厅里读报纸，一边在等着客人。,,jlpt_n2_grammar/7343b728-41db-5275-87ea-17a04bb7eb76.mp3
dabia-jlpt::N2 Grammar,05a1d2bd-f224-562c-beb3-653829a8feda,つつある,,,V-ます形去掉ます,时间关系、先后与同步发生 | 正在…（处于持续变化中）,,,,,日本の景气は回復し__。,日本の景气は回復しつつある。,日本的经济正在恢复。,,jlpt_n2_grammar/05a1d2bd-f224-562c-beb3-653829a8feda.mp3
dabia-jlpt::N2 Grammar,2d062a02-9430-5c84-b776-a466419d2571,て以来,,,V-て形,时间关系、先后与同步发生 | 自…以来（一直保持某种状态）,,,,,日本へ来__、まだ一度も映画を見ていない。,日本へ来て以来、まだ一度も映画を見ていない。,自从来到日本，还没看过一次电影呢。,,jlpt_n2_grammar/2d062a02-9430-5c84-b776-a466419d2571.mp3
dabia-jlpt::N2 Grammar,4729cc73-e7d2-585f-8ea5-67b2a66e5a94,からでないと,,,V-て形,时间关系、先后与同步发生 | 如果不先…的话，就不能…,,,,,契約の内容をよく読んで__返事できません。,契約の内容をよく読んでからでないと返事できません。,如果不把合约内容仔细看清，就无法做出答复。,,jlpt_n2_grammar/4729cc73-e7d2-585f-8ea5-67b2a66e5a94.mp3
dabia-jlpt::N2 Grammar,6b767d1f-3f49-5703-8f82-1af916e5490c,ところに,,,V/A-连体形 / N + の,时间关系、先后与同步发生 | 正在…的时候… / （偏后项动作的偶然切入）,,,,,食事をしている__祖父が亡くなったという知らせが来た。,食事をしているところに祖父が亡くなったという知らせが来た。,正在家里一起吃饭的时候，传来了祖父去世的通知。,,jlpt_n2_grammar/6b767d1f-3f49-5703-8f82-1af916e5490c.mp3
dabia-jlpt::N2 Grammar,de5bbe69-594f-53bf-8376-a1cdaedf0e81,ところを,,,V/A-连体形 / N + の,时间关系、先后与同步发生 | 正在…的时候（却打扰/被发现） / （后接对不起、谢谢或抓获）,,,,,お休み中の__お邪魔して申し訳ありません。,お休み中のところをお邪魔して申し訳ありません。,在您休息的时候打扰您，实在非常抱歉。,,jlpt_n2_grammar/de5bbe69-594f-53bf-8376-a1cdaedf0e81.mp3
dabia-jlpt::N2 Grammar,32e9538f-85a6-539a-bb1d-ef5484e02afc,一方で,,,V/A/N-连体形 / （动词た形一般不用）,对比、转折与让步关系 | 一方面…另一方面（又）…,,,,,仕事をする__、遊びことも忘れない若者が増えている。,仕事をする一方で、遊びことも忘れない若者が増えている。,一方面在工作，另一方面也不忘娱乐的年轻人正在增加。,,jlpt_n2_grammar/32e9538f-85a6-539a-bb1d-ef5484e02afc.mp3
dabia-jlpt::N2 Grammar,e99e777a-9005-5c75-88c0-fbd7b941b1e3,かわりに,,,V/A/N-连体形 / N + の,对比、转折与让步关系 | 替代… / 作补偿… / 虽然…但是（带有硬币两面性）,,,,,① 出勤する__明日は休ませてください。,① 出勤するかわりに明日は休ませてください。,替代） / ② 買い物に便利なかわりに、ちょっと騒々しい。（虽然…但是,,jlpt_n2_grammar/e99e777a-9005-5c75-88c0-fbd7b941b1e3.mp3
dabia-jlpt::N2 Grammar,89c12009-1fb9-530e-a433-7189ae031b44,くせに,,,V/A-连体形 / N + の,对比、转折与让步关系 | 明明…却… / （带有强烈的责怪、蔑视语气）,,,,,知らない__、知っているようなふりをするものじゃない。,知らないくせに、知っているようなふりをするものじゃない。,明明不知道，就不该假装好像知道似的。,,jlpt_n2_grammar/89c12009-1fb9-530e-a433-7189ae031b44.mp3
dabia-jlpt::N2 Grammar,d19186f8-14d7-54b4-9412-9be3ed74dd72,つつも,,,V-ます形去掉ます,对比、转折与让步关系 | 虽然知道/想…但还是… / （多用于内心的矛盾与纠结）,,,,,タバコは体に悪いと知り__、つい吸ってしまう。,タバコは体に悪いと知りつつも、つい吸ってしまう。,虽然知道香烟对身体不好，但最终还是忍不住吸了。,,jlpt_n2_grammar/d19186f8-14d7-54b4-9412-9be3ed74dd72.mp3
dabia-jlpt::N2 Grammar,3a2ac7ba-f56e-50d9-a8d8-c5bfe266ad52,といっても,,,V/A/N-普通形,对比、转折与让步关系 | 虽说…也只是… / （对前项进行程度上的修正）,,,,,弟はお酒が飲めない__、全然飲めないわけではない。,弟はお酒が飲めないといっても、全然飲めないわけではない。,弟弟虽说不会喝酒，但也不是一点都不能喝。,,jlpt_n2_grammar/3a2ac7ba-f56e-50d9-a8d8-c5bfe266ad52.mp3
dabia-jlpt::N2 Grammar,11dce970-6686-5f66-b41d-2fce861a9426,どころか,,,V/A/N-普通形,对比、转折与让步关系 | 哪里谈得上…甚至反倒… / 别说…就是连…也非,,,,,うちの子供は复习__、宿題もしない。,うちの子供は复习どころか、宿題もしない。,我们家的孩子，别说复习，连作业都没做。,,jlpt_n2_grammar/11dce970-6686-5f66-b41d-2fce861a9426.mp3
dabia-jlpt::N2 Grammar,c8693edd-d36e-5a0a-93cc-c9b707b3c254,ながら,,,V-ます/A-词干 / N,对比、转折与让步关系 | 虽然…但… / （常接在名词/形容词或心理动词后）,,,,,この部屋は狭い__、きれいで日当たりがいい。,この部屋は狭いながら、きれいで日当たりがいい。,这个房间虽然小，但漂亮且采光好。,,jlpt_n2_grammar/c8693edd-d36e-5a0a-93cc-c9b707b3c254.mp3
dabia-jlpt::N2 Grammar,c2d3b1b4-02ed-50cb-b026-6113b6b77671,にもかかわらず,,,V/A-连体形 / N,对比、转折与让步关系 | 尽管…/ 不管… / 不受前项条件的影响,,,,,激しい雨が降っていた、それ__、大会は実施された。,激しい雨が降っていた、それにもかかわらず、大会は実施された。,当天下着大雨，尽管如此，大会仍然照常举行。,,jlpt_n2_grammar/c2d3b1b4-02ed-50cb-b026-6113b6b77671.mp3
dabia-jlpt::N2 Grammar,76ba314b-fa4b-5b5e-92f0-4d5fdab6faf9,反して,,,N,对比、转折与让步关系 | 与…相反 / 违反了…,,,,,今朝の予報に__、雨が降り続いている。,今朝の予報に反して、雨が降り続いている。,与今天早上的预报相反，雨一直持续下着。,,jlpt_n2_grammar/76ba314b-fa4b-5b5e-92f0-4d5fdab6faf9.mp3
dabia-jlpt::N2 Grammar,416f6455-a6fc-5000-8ddd-e39a2306512e,反面,,,V/A/N-连体形,对比、转折与让步关系 | 在…的同时相反的一面是… / （同一事物的两面性）,,,,,子供ができると楽しい__、育児で忙しくなる。,子供ができると楽しい反面、育児で忙しくなる。,有了孩子虽然很高兴，但相反的是，育儿生活会变得非常忙碌。,,jlpt_n2_grammar/416f6455-a6fc-5000-8ddd-e39a2306512e.mp3
dabia-jlpt::N2 Grammar,a26975ad-8852-5c30-b152-94d0df01dd67,ものの,,,V/A/N-连体形,对比、转折与让步关系 | 虽然…但是… / （接续既成事实，书面语）,,,,,日本語が上手だとは言う__、通訳ができるほどではない。,日本語が上手だとは言うものの、通訳ができるほどではない。,虽然擅长日语，但还没到能做口译的程度。,,jlpt_n2_grammar/a26975ad-8852-5c30-b152-94d0df01dd67.mp3
dabia-jlpt::N2 Grammar,0b15e792-6e1f-5c57-a524-11f9d5ecc7fb,わりに,,,V/A/N-连体形 / N + の,对比、转折与让步关系 | 虽然…但（极不相称） / 从…来看算是不相称,,,,,この仕事は忙しい__給料があまりよくない。,この仕事は忙しいわりに給料があまりよくない。,这个工作虽然忙得够呛，但薪水却不怎么样，很不相称。,,jlpt_n2_grammar/0b15e792-6e1f-5c57-a524-11f9d5ecc7fb.mp3
dabia-jlpt::N2 Grammar,71a89c55-f37e-5fa9-8106-c7840a1f39b7,から言って,,,N,视点、立场与依据 | 从…来说 / 从…来看,,,,,現状__直ちに、その計画を実行するのは無理だ。,現状から言って直ちに、その計画を実行するのは無理だ。,从现状来说，马上实行那个计划是不可能的。,,jlpt_n2_grammar/71a89c55-f37e-5fa9-8106-c7840a1f39b7.mp3
dabia-jlpt::N2 Grammar,5b1b8444-a360-5deb-82ea-7a6a2136c6be,からして,,,N,视点、立场与依据 | 单单从…来看 / 就…而言 / （举出代表性的一点暗示整体）,,,,,田中さんのプランはその発想__、特別だ。,田中さんのプランはその発想からして、特別だ。,田中先生的计划，单单从他的想法来看就很独特。,,jlpt_n2_grammar/5b1b8444-a360-5deb-82ea-7a6a2136c6be.mp3
dabia-jlpt::N2 Grammar,01900173-c865-53e9-b753-5bfab7108905,からすると,,,N,视点、立场与依据 | 要是从…方面、线索来讲…,,,,,さっきの態度__、あの人は谢る気は全然なさそうだ。,さっきの態度からすると、あの人は谢る気は全然なさそうだ。,要是从刚才的态度来看，那个人好像一点道歉的意思都没有。,,jlpt_n2_grammar/01900173-c865-53e9-b753-5bfab7108905.mp3
dabia-jlpt::N2 Grammar,1586b38d-983b-5b9c-a40d-8365ef3326f3,から見て,,,N,视点、立场与依据 | 如果从…（某个特定的人或物）来看,,,,,この足跡__、犯人は男のようですね。,この足跡から見て、犯人は男のようですね。,从这个足迹来看，犯人好像是个男的。,,jlpt_n2_grammar/1586b38d-983b-5b9c-a40d-8365ef3326f3.mp3
dabia-jlpt::N2 Grammar,07a203f6-f59a-5852-88ca-e373e2696c4a,にすれば,,,N,视点、立场与依据 | 假如/即使站在…的立场、角度来说,,,,,大人__なんでもないこと便、子供の心を傷つける。,大人にすればなんでもないこと便、子供の心を傷つける。,对大人来说无所谓的事，有时也会深深伤害孩子的心。,,jlpt_n2_grammar/07a203f6-f59a-5852-88ca-e373e2696c4a.mp3
dabia-jlpt::N2 Grammar,7e770a4e-509d-50bf-a8ce-44381c99f2fb,にしては,,,V/A/N-连体形,视点、立场与依据 | 作为…来说（竟然出人意料） / 照…的标准来看却不相符,,,,,この子は小学生__、ずいぶんしっかりしている。,この子は小学生にしては、ずいぶんしっかりしている。,这个孩子作为一个小学生来说，表现得相当沉稳。,,jlpt_n2_grammar/7e770a4e-509d-50bf-a8ce-44381c99f2fb.mp3
dabia-jlpt::N2 Grammar,5525bc38-6b35-5dd0-912c-988bd45063b2,にとって,,,N,视点、立场与依据 | 对于…（主体）来说其价值或评判是,,,,,パソコン__、ほこりと湿気是大敌である。,パソコンにとって、ほこりと湿気是大敌である。,对于电脑来说，灰尘和湿气是大敌。,,jlpt_n2_grammar/5525bc38-6b35-5dd0-912c-988bd45063b2.mp3
dabia-jlpt::N2 Grammar,4cb202a0-1f29-58c7-9ea6-66adc628ab18,に基づいて,,,N,视点、立场与依据 | 根据… / 基于… / （以后项作为依据、准则）,,,,,これまでの研究__レポートをまとめた。,これまでの研究に基づいてレポートをまとめた。,根据到目前为止的研究，撰写并总结出了报告。,,jlpt_n2_grammar/4cb202a0-1f29-58c7-9ea6-66adc628ab18.mp3
dabia-jlpt::N2 Grammar,d6bdb94d-32ba-558b-9339-ab104ba6acf1,によれば,,,N,视点、立场与依据 | 依据…而… / 因…而不同 / 被…（被动句主体）/ 借由…,,,,,政府の調査__、台風による被害は数億円にのぼる。,政府の調査によれば、台風による被害は数億円にのぼる。,根据政府调查，据说因台风造成的损失达到了数亿日元。,,jlpt_n2_grammar/d6bdb94d-32ba-558b-9339-ab104ba6acf1.mp3
dabia-jlpt::N2 Grammar,87d0cbb9-b9e9-503b-ac72-064ffe01a31e,を基にして,,,N,视点、立场与依据 | 以…为原始素材、基础/原型,,,,,ひらがなやカタカナは漢字__作られた。,ひらがなやカタカナは漢字を基にして作られた。,平假名和片假名是以汉字为基础创造出来的。,,jlpt_n2_grammar/87d0cbb9-b9e9-503b-ac72-064ffe01a31e.mp3
dabia-jlpt::N2 Grammar,2cfb2ced-c3eb-5f58-99b1-bd7fd12ec898,限り,,,V/A-连体形 / N + の,限定、范围与唯独 | 只要不…就… / 尽…的范围内 / 就…（范围）而言,,,,,警察は力の__を尽くし捜査したが、犯人は捕まらなかった。,警察は力の限りを尽くし捜査したが、犯人は捕まらなかった。,虽然警察已经竭尽全力进行搜查，但还是没能抓到犯人。,,jlpt_n2_grammar/2cfb2ced-c3eb-5f58-99b1-bd7fd12ec898.mp3
dabia-jlpt::N2 Grammar,56b477ac-b167-53e3-8691-9899a5549a75,きり,,,N / V-た形,限定、范围与唯独 | 仅仅… / 只…就再没…（下文）,,,,,夫は朝早く出かけて行った__、夜になっても帰ってこない。,夫は朝早く出かけて行ったきり、夜になっても帰ってこない。,丈夫大清早出门之后，就再没回来，到了夜里也没见人。,,jlpt_n2_grammar/56b477ac-b167-53e3-8691-9899a5549a75.mp3
dabia-jlpt::N2 Grammar,7f568d93-7aff-5b61-9be2-c1872e69b843,だけ,,,V/A-连体形,限定、范围与唯独 | 在能…的范围内尽可能全部…,,,,,遠慮しないで、食べられる__食べてください。,遠慮しないで、食べられるだけ食べてください。,不要客气，请尽你所能想吃多少就吃多少吧。,,jlpt_n2_grammar/7f568d93-7aff-5b61-9be2-c1872e69b843.mp3
dabia-jlpt::N2 Grammar,929fcdc6-3cf6-5cde-a5ca-b1662b45e338,に限る,,,N,限定、范围与唯独 | ①②只限于 / 唯独在…时（偏偏） / ③（觉得）最好是…,,,,,疲れたときは寝る__。,疲れたときは寝るに限る。,最好） / デートの約束がある時に限って、残业させられる。（唯独/偏偏,,jlpt_n2_grammar/929fcdc6-3cf6-5cde-a5ca-b1662b45e338.mp3
dabia-jlpt::N2 Grammar,4017abed-02f2-52eb-81b2-822b66baf0f6,に限らず,,,N,限定、范围与唯独 | 不只限于…，不仅…,,,,,最近は女性__、男性も化粧する。,最近は女性に限らず、男性も化粧する。,最近不只限于女性，男性也开始化妆了。,,jlpt_n2_grammar/4017abed-02f2-52eb-81b2-822b66baf0f6.mp3
dabia-jlpt::N2 Grammar,88f8a4c9-b9bd-59c6-a50d-8593e63e2c25,のみならず,,,V/A/N-普通形,限定、范围与唯独 | 不仅…而且…（书面语）,,,,,政治家のスキャンダルは一人個人の問題__…,政治家のスキャンダルは一人個人の問題のみならず…,政治家的丑闻不仅是他个人的问题，也是全体政治家的问题。,,jlpt_n2_grammar/88f8a4c9-b9bd-59c6-a50d-8593e63e2c25.mp3
dabia-jlpt::N2 Grammar,1b62cd6f-a70a-504e-9f1e-69b4537af71a,ばかりか,,,V/A/N-连体形,限定、范围与唯独 | 岂止…甚至连…还… / 不仅…而且还…,,,,,地震で家__、家族も失ってしまった。,地震で家ばかりか、家族も失ってしまった。,因为地震，不仅失去了房子，甚至连家人也失去了。,,jlpt_n2_grammar/1b62cd6f-a70a-504e-9f1e-69b4537af71a.mp3
dabia-jlpt::N2 Grammar,03a033e5-8f4c-577f-bd2e-5c02fa6ba180,を問わず,,,N (通常是男女、国籍、内外等对立词),限定、范围与唯独 | 不问… / 不管… / 不分… / （后项不受前项对立概念的限制）,,,,,インターネットは国__、広く世界中で利用されている。,インターネットは国を問わず、広く世界中で利用されている。,网络不分国别，在全世界被广泛应用。,,jlpt_n2_grammar/03a033e5-8f4c-577f-bd2e-5c02fa6ba180.mp3
dabia-jlpt::N2 Grammar,7bd5be10-02dc-5ef3-b3bb-07345f510f04,ぬきで,,,N,排除、省略与例外 | 省去… / 除去… / 去掉…,,,,,冗談__真面目に考えてください。,冗談ぬきで真面目に考えてください。,别开玩笑了，请认认真真地考虑。,,jlpt_n2_grammar/7bd5be10-02dc-5ef3-b3bb-07345f510f04.mp3
dabia-jlpt::N2 Grammar,fa8d359d-8cbb-54f4-be81-ac13a92f9cd1,ともかく,,,N,排除、省略与例外 | …暂且不说 / …另当别论,,,,,仕事のことは__、健康の回復を第一に考えるべきでしょう。,仕事のことはともかく、健康の回復を第一に考えるべきでしょう。,工作的事暂且不谈，应该把身体康复放在第一位来考虑吧。,,jlpt_n2_grammar/fa8d359d-8cbb-54f4-be81-ac13a92f9cd1.mp3
dabia-jlpt::N2 Grammar,58af4c2b-a04a-52d9-8795-9c33f957e00b,抜きにして,,,N,排除、省略与例外 | 如果排除… / 要是不可有…的话 / （后项多跟无法实现、不可想象）,,,,,市民の協力を__、この計画の成功は考えられない。,市民の協力を抜きにして、この計画の成功は考えられない。,如果没有市民的协助，这个计划的成功是不可想象的。,,jlpt_n2_grammar/58af4c2b-a04a-52d9-8795-9c33f957e00b.mp3
dabia-jlpt::N2 Grammar,183d515e-19c0-5053-87cb-60803cb8c42d,は別にして,,,N,排除、省略与例外 | …除外 / 且不论…,,,,,技術の優劣__、参加することに意義があるのです。,技術の優劣は別にして、参加することに意義があるのです。,且不论技术水平的优劣，积极参加本身就有意义。,,jlpt_n2_grammar/183d515e-19c0-5053-87cb-60803cb8c42d.mp3
dabia-jlpt::N2 Grammar,52227a51-e0a8-5383-b59b-c9edfaa2ff8f,一方だ,,,V-原型,伴随、程度与比例变化 | 越来越…（单方向持续恶化或发展）,,,,,景気が悪くて、ここ数年、失业率は上がる__。,景気が悪くて、ここ数年、失业率は上がる一方だ。,经济不景气，这几年失业率越来越高。,,jlpt_n2_grammar/52227a51-e0a8-5383-b59b-c9edfaa2ff8f.mp3
dabia-jlpt::N2 Grammar,ab2e47ff-ae5b-56f1-bc9a-f0f0f498b091,くらい,,,V/A/N-连体形,伴随、程度与比例变化 | …简直到了…的程度,,,,,使い切れない__のお金があったらいいのに。,使い切れないくらいのお金があったらいいのに。,要是有多到花不完的钱该有多好啊。,,jlpt_n2_grammar/ab2e47ff-ae5b-56f1-bc9a-f0f0f498b091.mp3
dabia-jlpt::N2 Grammar,d1f18131-aea3-58b3-b288-10d3a63bfe3d,にしたがって,,,V-原型 / N,伴随、程度与比例变化 | 随着…而…（必然的联动渐变）,,,,,子供は成長する__、知恵がつく。,子供は成長するにしたがって、知恵がつく。,孩子随着年龄的增长，逐渐懂事长智慧。,,jlpt_n2_grammar/d1f18131-aea3-58b3-b288-10d3a63bfe3d.mp3
dabia-jlpt::N2 Grammar,05094184-7bd5-5fe6-b8b1-c57cc4bbd72c,につれて,,,V-原型 / N,伴随、程度与比例变化 | 随着…就…（单向的一对一比例变化）,,,,,台風近づく__、風雨が強くなってきた。,台風近づくにつれて、風雨が強くなってきた。,随着台风的临近，风雨变得越来越强劲了。,,jlpt_n2_grammar/05094184-7bd5-5fe6-b8b1-c57cc4bbd72c.mp3
dabia-jlpt::N2 Grammar,81ca6d91-2ff1-56ea-8d03-ad7967ab0d19,に伴い,,,V-原型 / N,伴随、程度与比例变化 | 伴随着… / 与此同时发生…,,,,,時代の変化__、子供の遊びも変わってきた。,時代の変化に伴い、子供の遊びも変わってきた。,伴随着时代的变化，孩子们的游戏也在发生改变。,,jlpt_n2_grammar/81ca6d91-2ff1-56ea-8d03-ad7967ab0d19.mp3
dabia-jlpt::N2 Grammar,756a2ec4-b9aa-51c8-addf-620526cc2b7f,ほど,,,V/A/N-连体形,伴随、程度与比例变化 | 到了…那样的程度 / 越…越…,,,,,それは重苦しい__蒸し暑い晩だった。,それは重苦しいほど蒸し暑い晩だった。,那是一个闷热到让人感到压抑难受的夜晚。,,jlpt_n2_grammar/756a2ec4-b9aa-51c8-addf-620526cc2b7f.mp3
dabia-jlpt::N2 Grammar,0e5f9b33-6ee3-5b82-8f94-5a1d2d356d50,上に,,,V/A/N-连体形,强调、举例与并列 | 加上… / 而且… / 既…又…,,,,,この手続きは面倒な__、時間もかかるので嫌われている。,この手続きは面倒な上に、時間もかかるので嫌われている。,这个手续既麻烦又费时间，所以大家都很讨厌。,,jlpt_n2_grammar/0e5f9b33-6ee3-5b82-8f94-5a1d2d356d50.mp3
dabia-jlpt::N2 Grammar,fdd6a7de-5d99-5715-b8d2-dd218f024dc2,に加え,,,N / V-原型 + の,强调、举例与并列 | （除了）…再加上…（书面语叠加）,,,,,工作はきついの__、給料も低いので応募者が少ない。,工作はきついのに加え、給料も低いので応募者が少ない。,工作繁重，再加上薪水也低，来这家公司应聘的人很少。,,jlpt_n2_grammar/fdd6a7de-5d99-5715-b8d2-dd218f024dc2.mp3
dabia-jlpt::N2 Grammar,be920a73-e59b-50cf-a6d2-99993e1fc285,こそ,,,N / 原因句,强调、举例与并列 | 正是… / 才是… / 正是因为…才…,,,,,これ__私が見てみたいと思っていた絵だ。,これこそ私が見てみたいと思っていた絵だ。,这正是我一直以来特别想亲眼看看的画作。,,jlpt_n2_grammar/be920a73-e59b-50cf-a6d2-99993e1fc285.mp3
dabia-jlpt::N2 Grammar,1c91abe7-da17-5fd1-b8eb-a8ffbe334718,てこそ,,,V-て形,强调、举例与并列 | 只有真正完成了…之后，才能…,,,,,何事も自分で経験し__、その良さや難しさが分かる。,何事も自分で経験してこそ、その良さや難しさが分かる。,无论什么事，只有自己亲身体验过，才能明白它的美好与不易。,,jlpt_n2_grammar/1c91abe7-da17-5fd1-b8eb-a8ffbe334718.mp3
